# MLER wave profile generated on 21-Mar-2016 13:58:16
#
# Config: C
# Source RAO: ../RAO_data/RAO_heave_RM3float.dat
#
### Setup 
# x0:          0.000   (m, peak position) 
# x_start:    -600.000   (m, start position) 
# Rho:        1025.000   (kg/m^3, density of water) 
# g:           9.801   (m/s^2, gravity) 
# depth:      70.000   (m, water depth) 
# startTime:  -150.000   (s) 
# endTime:    150.000   (s) 
# dt:          0.250   (s) 
# t0:          0.000   (s, response peak time) 
#
### Wave info:
# NumFreq: 500.000000    (-, number of frequencies)
# dW:       0.01257 (rad/s, frequency spacing)
# Hs:       9.000  (m, significant wave height) 
# Tp:      15.100  (s, wave period) 
#
# Max wave elevation:   8.550  (m) 
# Min wave elevation:  -7.763  (m) 
# Max WEC Response:     8.563  (m) 
# Min WEC Response:    -7.789  (m) 
#
# Probability of wave exceeding Max wave elevation:  0.00727704
#
# Note: Phase is calculated at X0 and t0.  For starting at a different point along x or in time, phase must be adjusted.
#
#Form of equation for wave elevation:
#   WaveElev = sum( sqrt(SpectAmp) * cos( -k*(x-X0) + w*(t-T0) + Phase) ) * dw
#
#
#   frequency      SpectAmp      Phase     wavenumber
#   (rad/s)          (m^2)       (rad)      (rad^2/m)
4.662123     0.00000000     2.30784832     2.21767121
4.674690     0.00000000     2.30937248     2.22964242
4.687256     0.00000000     2.31086062     2.24164586
4.699823     0.00000000     2.31231284     2.25368152
4.712389     0.00000000     2.31372924     2.26574940
4.724955     0.00000000     2.31510993     2.27784951
4.737522     0.00000000     2.31645501     2.28998184
4.750088     0.00000000     2.31776458     2.30214640
4.762654     0.00000000     2.31903874     2.31434318
4.775221     0.00000000     2.32027760     2.32657219
4.787787     0.00000000     2.32148126     2.33883342
4.800354     0.00000000     2.32264983     2.35112687
4.812920     0.00000000     2.32378341     2.36345255
4.825486     0.00000000     2.32488209     2.37581045
4.838053     0.00000000     2.32594600     2.38820057
4.850619     0.00000000     2.32697521     2.40062292
4.863185     0.00000000     2.32796985     2.41307749
4.875752     0.00000000     2.32893002     2.42556429
4.888318     0.00000000     2.32985581     2.43808331
4.900885     0.00000000     2.33074733     2.45063455
4.913451     0.00000000     2.33160468     2.46321802
4.926017     0.00000000     2.33242797     2.47583372
4.938584     0.00000000     2.33321730     2.48848163
4.951150     0.00000000     2.33397277     2.50116177
4.963716     0.00000000     2.33469449     2.51387414
4.976283     0.00000000     2.33538256     2.52661873
4.988849     0.00000000     2.33603708     2.53939554
5.001416     0.00000000     2.33665815     2.55220458
5.013982     0.00000000     2.33724589     2.56504584
5.026548     0.00000000     2.33780039     2.57791932
5.039115     0.00000000     2.33832175     2.59082503
5.051681     0.00000000     2.33881008     2.60376296
5.064247     0.00000000     2.33926548     2.61673312
5.076814     0.00000000     2.33968806     2.62973550
5.089380     0.00000000     2.34007792     2.64277010
5.101946     0.00000000     2.34043515     2.65583693
5.114513     0.00000000     2.34075987     2.66893599
5.127079     0.00000000     2.34105218     2.68206726
5.139646     0.00000000     2.34131218     2.69523076
5.152212     0.00000000     2.34153998     2.70842649
5.164778     0.00000000     2.34173567     2.72165444
5.177345     0.00000000     2.34189936     2.73491461
5.189911     0.00000000     2.34203115     2.74820700
5.202477     0.00000000     2.34213116     2.76153162
5.215044     0.00000000     2.34219947     2.77488847
5.227610     0.00000000     2.34223619     2.78827754
5.240177     0.00000000     2.34220462     2.80169883
5.252743     0.00000000     2.34162818     2.81515235
5.265309     0.00000000     2.34036579     2.82863809
5.277876     0.00000000     2.33842412     2.84215605
5.290442     0.00000000     2.33580985     2.85570624
5.303008     0.00000000     2.33252964     2.86928865
5.315575     0.00000000     2.32859017     2.88290329
5.328141     0.00000000     2.32399810     2.89655015
5.340708     0.00000000     2.31876010     2.91022923
5.353274     0.00000000     2.31288285     2.92394054
5.365840     0.00000000     2.30637302     2.93768407
5.378407     0.00000000     2.29923727     2.95145983
5.390973     0.00000000     2.29148228     2.96526781
5.403539     0.00000000     2.28311472     2.97910802
5.416106     0.00000000     2.27414126     2.99298044
5.428672     0.00000000     2.26456856     3.00688510
5.441238     0.00000000     2.25440331     3.02082197
5.453805     0.00000000     2.24365216     3.03479107
5.466371     0.00000000     2.23232179     3.04879240
5.478938     0.00000000     2.22041888     3.06282595
5.491504     0.00000000     2.20795008     3.07689172
5.504070     0.00000000     2.19492208     3.09098971
5.516637     0.00000000     2.18134153     3.10511993
5.529203     0.00000000     2.16721512     3.11928238
5.541769     0.00000000     2.15254951     3.13347705
5.554336     0.00000000     2.13735138     3.14770394
5.566902     0.00000000     2.12162739     3.16196306
5.579469     0.00000000     2.10538421     3.17625440
5.592035     0.00000000     2.08862852     3.19057796
5.604601     0.00000000     2.07136699     3.20493375
5.617168     0.00000000     2.05360628     3.21932176
5.629734     0.00000000     2.03535306     3.23374200
5.642300     0.00000000     2.01661401     3.24819446
5.654867     0.00000000     1.99739580     3.26267914
5.667433     0.00000000     1.97770510     3.27719605
5.680000     0.00000000     1.95754858     3.29174518
5.692566     0.00000000     1.93693290     3.30632654
5.705132     0.00000000     1.91586474     3.32094012
5.717699     0.00000000     1.89435078     3.33558592
5.730265     0.00000000     1.87239767     3.35026395
5.742831     0.00000000     1.85001209     3.36497420
5.755398     0.00000000     1.82720071     3.37971668
5.767964     0.00000000     1.80397021     3.39449138
5.780530     0.00000000     1.78032725     3.40929830
5.793097     0.00000000     1.75627850     3.42413745
5.805663     0.00000000     1.73183063     3.43900882
5.818230     0.00000000     1.70699032     3.45391242
5.830796     0.00000000     1.68176423     3.46884824
5.843362     0.00000000     1.65615903     3.48381628
5.855929     0.00000000     1.63018140     3.49881655
5.868495     0.00000000     1.60383800     3.51384904
5.881061     0.00000000     1.57713552     3.52891376
5.893628     0.00000000     1.55008060     3.54401070
5.906194     0.00000000     1.52267994     3.55913986
5.918761     0.00000000     1.49494019     3.57430125
